start,end,revenue,accn,fy,fp,form,filed,frame,researchanddevelopmentexpense,operatingincomeloss,sellinggeneralandadministrativeexpense,grossprofit,operatingexpenses,assets,liabilities,cashandcashequivalentsatcarryingvalue,inventorynet,accountsreceivablenetcurrent,accountspayablecurrent,propertyplantandequipmentnet,netcashprovidedbyusedinoperatingactivities,company_name,ticker,cik
2008-04-27,2008-07-27,892676000,0001045810-09-000024,2009.0,Q2,10-Q,2009-08-20,CY2008Q2,212910000.0,-155392000.0,92399000.0,149917000.0,305309000.0,,,719143000.0,,,,,226202000.0,NVIDIA CORP,NVDA,0001045810
2009-01-25,2009-07-26,1440751000,0001045810-09-000024,2009.0,Q2,10-Q,2009-08-20,,192855000.0,-110107000.0,73975000.0,346419000.0,266830000.0,3298409000.0,,523785000.0,279216000.0,351960000.0,275978000.0,582914000.0,277245000.0,NVIDIA CORP,NVDA,0001045810
2008-07-28,2008-10-26,897655000,0001045810-09-000036,2009.0,Q3,10-Q,2009-11-19,CY2008Q3,212360000.0,56796000.0,90349000.0,367843000.0,311047000.0,,,461253000.0,,,,,269205000.0,NVIDIA CORP,NVDA,0001045810
2007-01-29,2008-01-27,4097860000,0001045810-10-000006,2010.0,FY,10-K,2010-03-18,CY2007,691637000.0,836346000.0,341297000.0,1869280000.0,1032934000.0,,,726969000.0,,,,,1270196000.0,NVIDIA CORP,NVDA,0001045810
2010-02-01,2010-05-02,1001813000,0001045810-10-000018,2010.0,Q2,10-Q,2010-05-21,,218105000.0,147393000.0,90879000.0,456377000.0,308984000.0,3803030000.0,,447262000.0,388139000.0,529663000.0,362740000.0,548916000.0,-5397000.0,NVIDIA CORP,NVDA,0001045810
2009-01-26,2009-04-26,664231000,0001045810-10-000018,2010.0,Q2,10-Q,2010-05-21,,301797000.0,-230965000.0,118864000.0,189696000.0,420661000.0,,,512274000.0,,,,,142128000.0,NVIDIA CORP,NVDA,0001045810
2009-04-27,2009-07-26,776520000,0001045810-10-000029,2010.0,Q3,10-Q,2010-08-30,,192855000.0,-110107000.0,73975000.0,156723000.0,266830000.0,,,523785000.0,,,,,277245000.0,NVIDIA CORP,NVDA,0001045810
2010-05-03,2010-08-01,811208000,0001045810-10-000029,2010.0,Q3,10-Q,2010-08-30,,428740000.0,-27814000.0,189743000.0,134292000.0,618483000.0,3731268000.0,,377003000.0,434227000.0,395934000.0,280041000.0,542216000.0,28947000.0,NVIDIA CORP,NVDA,0001045810
2009-01-26,2009-10-25,2343957000,0001045810-10-000045,2010.0,Q3,10-Q,2010-12-07,,692600000.0,-233227000.0,278829000.0,738202000.0,971429000.0,3463574000.0,,614490000.0,277643000.0,397820000.0,321530000.0,565296000.0,418562000.0,NVIDIA CORP,NVDA,0001045810
2009-07-27,2009-10-25,903206000,0001045810-11-000015,2010.0,FY,10-K,2011-03-16,CY2009Q3,,,,391783000.0,,,,,,,,,,NVIDIA CORP,NVDA,0001045810
2008-01-28,2009-01-25,3424859000,0001045810-11-000015,2010.0,FY,10-K,2011-03-16,CY2008,855879000.0,-70700000.0,362222000.0,1174269000.0,1244969000.0,3350727000.0,,417688000.0,537834000.0,318435000.0,218864000.0,625798000.0,249360000.0,NVIDIA CORP,NVDA,0001045810
2010-05-03,2010-08-01,811208000,0001045810-11-000015,2010.0,FY,10-K,2011-03-16,,,,,134292000.0,,,,,,,,,,NVIDIA CORP,NVDA,0001045810
2009-01-26,2009-04-26,664231000,0001045810-11-000015,2010.0,FY,10-K,2011-03-16,CY2009Q1,,,,189696000.0,,,,,,,,,,NVIDIA CORP,NVDA,0001045810
2009-04-27,2009-07-26,776520000,0001045810-11-000015,2010.0,FY,10-K,2011-03-16,CY2009Q2,,,,156723000.0,,,,,,,,,,NVIDIA CORP,NVDA,0001045810
2010-02-01,2010-05-02,1001813000,0001045810-11-000031,2011.0,Q1,10-Q,2011-05-27,,218105000.0,147393000.0,90879000.0,456377000.0,308984000.0,,,447262000.0,,,,,-5397000.0,NVIDIA CORP,NVDA,0001045810
2010-05-03,2010-08-01,811208000,0001045810-11-000046,2011.0,Q2,10-Q,2011-08-25,,210635000.0,-175207000.0,98864000.0,134292000.0,309499000.0,,,377003000.0,,,,,28947000.0,NVIDIA CORP,NVDA,0001045810
2010-02-01,2010-10-31,2656933000,0001045810-11-000056,2011.0,Q3,10-Q,2011-11-22,,633267000.0,75969000.0,273495000.0,982731000.0,906762000.0,3915579000.0,,451174000.0,377812000.0,399502000.0,324770000.0,585672000.0,241124000.0,NVIDIA CORP,NVDA,0001045810
2009-01-26,2010-01-31,3326445000,0001045810-12-000013,2011.0,FY,10-K,2012-03-13,CY2009,908851000.0,-98945000.0,367017000.0,1176923000.0,1275868000.0,3585918000.0,,447221000.0,330674000.0,374963000.0,344527000.0,571858000.0,487807000.0,NVIDIA CORP,NVDA,0001045810
2010-05-03,2010-07-31,811208000,0001045810-12-000013,2011.0,FY,10-K,2012-03-13,CY2010Q2,,,,134292000.0,,,,,,,,,,NVIDIA CORP,NVDA,0001045810
2010-08-02,2010-10-31,843912000,0001045810-12-000013,2011.0,FY,10-K,2012-03-13,CY2010Q3,,,,392062000.0,,,,,,,,,,NVIDIA CORP,NVDA,0001045810
2010-02-01,2010-05-02,1001813000,0001045810-12-000013,2011.0,FY,10-K,2012-03-13,CY2010Q1,,,,456377000.0,,,,,,,,,,NVIDIA CORP,NVDA,0001045810
2011-01-31,2011-05-01,962039000,0001045810-12-000027,2012.0,Q1,10-Q,2012-05-23,,231524000.0,154862000.0,98117000.0,484503000.0,329641000.0,4736744000.0,,683633000.0,380964000.0,343202000.0,346295000.0,553366000.0,172200000.0,NVIDIA CORP,NVDA,0001045810
2011-01-31,2011-07-31,1978556000,0001045810-12-000036,2012.0,Q2,10-Q,2012-08-22,,479245000.0,328892000.0,201650000.0,1009787000.0,680895000.0,4864424000.0,,532614000.0,361911000.0,419944000.0,297813000.0,550896000.0,254221000.0,NVIDIA CORP,NVDA,0001045810
2011-01-31,2011-10-30,3044736000,0001045810-12-000060,2012.0,Q3,10-Q,2012-11-19,,735743000.0,525982000.0,304779000.0,1566504000.0,1040522000.0,5089043000.0,,566816000.0,319602000.0,371261000.0,307943000.0,551757000.0,498638000.0,NVIDIA CORP,NVDA,0001045810
2011-08-01,2011-10-30,1066180000,0001045810-13-000008,2012.0,FY,10-K,2013-03-12,CY2011Q3,,,,556717000.0,,,,,,,,,,NVIDIA CORP,NVDA,0001045810
2010-02-01,2011-01-30,3543309000,0001045810-13-000008,2012.0,FY,10-K,2013-03-12,CY2010,848830000.0,255747000.0,361513000.0,1409090000.0,1153343000.0,4495246000.0,,665361000.0,345525000.0,348770000.0,286138000.0,568857000.0,675797000.0,NVIDIA CORP,NVDA,0001045810
2011-01-31,2011-05-01,962039000,0001045810-13-000008,2012.0,FY,10-K,2013-03-12,CY2011Q1,,,,484503000.0,,,,,,,,,,NVIDIA CORP,NVDA,0001045810
2011-05-02,2011-07-31,1016517000,0001045810-13-000008,2012.0,FY,10-K,2013-03-12,CY2011Q2,,,,525284000.0,,,,,,,,,,NVIDIA CORP,NVDA,0001045810
2012-01-30,2012-04-29,924877000,0001045810-13-000054,2013.0,Q1,10-Q,2013-05-22,,283902000.0,72826000.0,106636000.0,463364000.0,390538000.0,5708167000.0,,369135000.0,342707000.0,411155000.0,395578000.0,553541000.0,-9208000.0,NVIDIA CORP,NVDA,0001045810
2012-01-30,2012-07-29,1969147000,0001045810-13-000075,2013.0,Q2,10-Q,2013-08-21,,281193000.0,139623000.0,119903000.0,1004083000.0,401096000.0,5891881000.0,,499618000.0,387185000.0,445312000.0,417250000.0,574056000.0,191678000.0,NVIDIA CORP,NVDA,0001045810
2012-01-30,2012-10-28,3173257000,0001045810-13-000109,2013.0,Q3,10-Q,2013-11-19,,284180000.0,252217000.0,100261000.0,1640741000.0,384441000.0,6075144000.0,,525388000.0,428983000.0,444944000.0,390265000.0,566540000.0,373163000.0,NVIDIA CORP,NVDA,0001045810
2012-01-30,2012-04-29,924877000,0001045810-14-000030,2013.0,FY,10-K,2014-03-13,CY2012Q1,,,,463364000.0,,,,,,,,,,NVIDIA CORP,NVDA,0001045810
2012-04-30,2012-07-29,1044270000,0001045810-14-000030,2013.0,FY,10-K,2014-03-13,CY2012Q2,,,,540719000.0,,,,,,,,,,NVIDIA CORP,NVDA,0001045810
2011-01-31,2012-01-29,3997930000,0001045810-14-000030,2013.0,FY,10-K,2014-03-13,CY2011,1002605000.0,648299000.0,405613000.0,2056517000.0,1408218000.0,5552928000.0,,667876000.0,340297000.0,336143000.0,335072000.0,560072000.0,909156000.0,NVIDIA CORP,NVDA,0001045810
2012-07-30,2012-10-28,1204110000,0001045810-14-000030,2013.0,FY,10-K,2014-03-13,CY2012Q3,,,,636658000.0,,,,,,,,,,NVIDIA CORP,NVDA,0001045810
2013-01-28,2013-04-28,954739000,0001045810-14-000085,2014.0,Q1,10-Q,2014-05-21,,327161000.0,82781000.0,108626000.0,518568000.0,435787000.0,6279527000.0,,561423000.0,377597000.0,346998000.0,328259000.0,588023000.0,175650000.0,NVIDIA CORP,NVDA,0001045810
2013-01-28,2013-07-28,1931977000,0001045810-14-000158,2015.0,Q2,10-Q,2014-08-20,,658899000.0,188315000.0,216892000.0,1064106000.0,875791000.0,5569592000.0,,591321000.0,378280000.0,418123000.0,310271000.0,578948000.0,272119000.0,NVIDIA CORP,NVDA,0001045810
2013-01-28,2013-10-27,2985944000,0001045810-14-000188,2015.0,Q3,10-Q,2014-11-19,,999193000.0,329303000.0,320025000.0,1648521000.0,1319218000.0,5711373000.0,,562084000.0,380319000.0,447631000.0,333283000.0,595418000.0,434434000.0,NVIDIA CORP,NVDA,0001045810
2013-01-28,2013-04-28,954739000,0001045810-15-000036,2015.0,FY,10-K,2015-03-12,CY2013Q1,,,,518568000.0,,,,,,,,,,NVIDIA CORP,NVDA,0001045810
2012-01-30,2013-01-27,4280159000,0001045810-15-000036,2015.0,FY,10-K,2015-03-12,CY2012,1147282000.0,648239000.0,430822000.0,2226343000.0,1578104000.0,6412245000.0,,733000000.0,412467000.0,454252000.0,356428000.0,576144000.0,824172000.0,NVIDIA CORP,NVDA,0001045810
2013-04-29,2013-07-28,977238000,0001045810-15-000036,2015.0,FY,10-K,2015-03-12,CY2013Q2,,,,545538000.0,,,,,,,,,,NVIDIA CORP,NVDA,0001045810
2013-07-29,2013-10-27,1053967000,0001045810-15-000036,2015.0,FY,10-K,2015-03-12,CY2013Q3,,,,584415000.0,,,,,,,,,,NVIDIA CORP,NVDA,0001045810
2014-01-27,2014-04-27,1103000000,0001045810-15-000097,2016.0,Q1,10-Q,2015-05-20,,334000000.0,151000000.0,119000000.0,604000000.0,453000000.0,6864663000.0,,509000000.0,393280000.0,396438000.0,309008000.0,570802000.0,151000000.0,NVIDIA CORP,NVDA,0001045810
2014-01-27,2014-07-27,2206000000,0001045810-15-000143,2016.0,Q2,10-Q,2015-08-19,,337000000.0,163000000.0,119000000.0,1223000000.0,456000000.0,6933719000.0,,515000000.0,387434000.0,469625000.0,261627000.0,556911000.0,247000000.0,NVIDIA CORP,NVDA,0001045810
2014-07-28,2014-10-26,1225000000,0001045810-15-000173,2016.0,Q3,10-Q,2015-11-18,,340000000.0,213000000.0,123000000.0,676000000.0,463000000.0,6885869000.0,,395000000.0,408081000.0,563400000.0,328097000.0,566601000.0,463000000.0,NVIDIA CORP,NVDA,0001045810
2013-01-28,2014-01-26,4130000000,0001045810-16-000205,2016.0,FY,10-K,2016-03-17,CY2013,1336000000.0,496000000.0,436000000.0,2268000000.0,1772000000.0,7250894000.0,,1152000000.0,387765000.0,426357000.0,324391000.0,582740000.0,835000000.0,NVIDIA CORP,NVDA,0001045810
2014-01-27,2014-04-27,1103000000,0001045810-16-000205,2016.0,FY,10-K,2016-03-17,CY2014Q1,,,,604000000.0,,,,,,,,,,NVIDIA CORP,NVDA,0001045810
2014-04-28,2014-07-27,1103000000,0001045810-16-000205,2016.0,FY,10-K,2016-03-17,CY2014Q2,,,,619000000.0,,,,,,,,,,NVIDIA CORP,NVDA,0001045810
2014-07-28,2014-10-26,1225000000,0001045810-16-000205,2016.0,FY,10-K,2016-03-17,CY2014Q3,,,,677000000.0,,,,,,,,,,NVIDIA CORP,NVDA,0001045810
2015-01-26,2015-04-26,1151000000,0001045810-16-000275,2017.0,Q1,10-Q,2016-05-25,,339000000.0,176000000.0,138000000.0,653000000.0,477000000.0,7291000000.0,,464000000.0,438000000.0,455000000.0,222000000.0,547000000.0,246000000.0,NVIDIA CORP,NVDA,0001045810
2015-01-26,2015-07-26,2304000000,0001045810-16-000300,2017.0,Q2,10-Q,2016-08-23,,658000000.0,250000000.0,289000000.0,1286000000.0,1036000000.0,6979000000.0,,435000000.0,441000000.0,514000000.0,277000000.0,497000000.0,409000000.0,NVIDIA CORP,NVDA,0001045810
2015-01-26,2015-10-25,3609000000,0001045810-16-000353,2017.0,Q3,10-Q,2016-11-22,,987000000.0,495000000.0,441000000.0,734000000.0,1525000000.0,7174000000.0,,471000000.0,425000000.0,536000000.0,295000000.0,477000000.0,664000000.0,NVIDIA CORP,NVDA,0001045810
2015-01-26,2015-04-26,1151000000,0001045810-17-000027,2017.0,FY,10-K,2017-03-01,CY2015Q1,,,,653000000.0,,,,,,,,,,NVIDIA CORP,NVDA,0001045810
